-0.7241658E+03,0.7863318E+03,2.000,426.06,-89.04
-0.6541658E+03,0.7863318E+03,2.000,420.27,-81.01
-0.5841658E+03,0.7863318E+03,2.000,426.06,-83.37
-0.5141658E+03,0.7863318E+03,2.000,442.97,-80.79
-0.4441658E+03,0.7863318E+03,2.000,469.81,-86.10
-0.3741658E+03,0.7863318E+03,2.000,505.00,-92.76
-0.7241658E+03,0.8563318E+03,2.000,357.25,-87.14
-0.6541658E+03,0.8563318E+03,2.000,350.32,-75.80
-0.5841658E+03,0.8563318E+03,2.000,357.25,-80.48
-0.5141658E+03,0.8563318E+03,2.000,377.26,-75.95
-0.4441658E+03,0.8563318E+03,2.000,408.44,-82.89
-0.3741658E+03,0.8563318E+03,2.000,448.47,-102.03
-0.7241658E+03,0.9263318E+03,2.000,289.01,-80.02
-0.6541658E+03,0.9263318E+03,2.000,280.40,-72.37
-0.5841658E+03,0.9263318E+03,2.000,289.01,-80.24
-0.5141658E+03,0.9263318E+03,2.000,313.41,-100.51
-0.4441658E+03,0.9263318E+03,2.000,350.32,-98.33
-0.3741658E+03,0.9263318E+03,2.000,396.26,-86.74
-0.7241658E+03,0.9963318E+03,2.000,221.87,-72.72
-0.6541658E+03,0.9963318E+03,2.000,210.54,-63.81
-0.5841658E+03,0.9963318E+03,2.000,221.87,-74.46
-0.5141658E+03,0.9963318E+03,2.000,252.83,-85.60
-0.4441658E+03,0.9963318E+03,2.000,297.36,-82.98
-0.3741658E+03,0.9963318E+03,2.000,350.32,-99.32
-0.7241658E+03,0.1066332E+04,2.000,157.24,-69.84
-0.6541658E+03,0.1066332E+04,2.000,140.80,-81.23
-0.5841658E+03,0.1066332E+04,2.000,157.24,-80.32
-0.5141658E+03,0.1066332E+04,2.000,198.56,-103.41
-0.4441658E+03,0.1066332E+04,2.000,252.83,-94.11
-0.3741658E+03,0.1066332E+04,2.000,313.41,-250.00
-0.7241658E+03,0.1136332E+04,2.000,100.12,-60.79
-0.6541658E+03,0.1136332E+04,2.000,71.59,-60.13
-0.5841658E+03,0.1136332E+04,2.000,100.12,-71.60
-0.5141658E+03,0.1136332E+04,2.000,157.24,-250.00
-0.4441658E+03,0.1136332E+04,2.000,221.87,-250.00
-0.3741658E+03,0.1136332E+04,2.000,289.01,-250.00
-0.7241658E+03,0.1206332E+04,2.000,71.59,-64.06
-0.6541658E+03,0.1206332E+04,2.000,15.00,-52.28
-0.5841658E+03,0.1206332E+04,2.000,71.59,-73.40
-0.5141658E+03,0.1206332E+04,2.000,140.80,-86.76
-0.4441658E+03,0.1206332E+04,2.000,210.54,-250.00
-0.3741658E+03,0.1206332E+04,2.000,280.40,-250.00
